level1 	level2	pathway_name	pathway_id
Metabolism	Lipid metabolism	Glycerolipid metabolism 	ko00561
Metabolism	Lipid metabolism	Glycerophospholipid metabolism 	ko00564
Metabolism	Lipid metabolism	Ether lipid metabolism 	ko00565
Metabolism	Lipid metabolism	Sphingolipid metabolism 	ko00600
Metabolism	Lipid metabolism	Arachidonic acid metabolism 	ko00590
Metabolism	Lipid metabolism	Linoleic acid metabolism 	ko00591
Metabolism	Lipid metabolism	alpha-Linolenic acid metabolism 	ko00592
Metabolism	Lipid metabolism	Biosynthesis of unsaturated fatty acids 	ko01040
Metabolism	Nucleotide metabolism	Purine metabolism 	ko00230
Metabolism	Nucleotide metabolism	Pyrimidine metabolism 	ko00240
Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism 	ko00250
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism 	ko00260
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism 	ko00270
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation 	ko00280
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis 	ko00290
Metabolism	Amino acid metabolism	Lysine biosynthesis 	ko00300
Metabolism	Amino acid metabolism	Lysine degradation 	ko00310
Metabolism	Amino acid metabolism	Arginine biosynthesis 	ko00220
Metabolism	Amino acid metabolism	Arginine and proline metabolism 	ko00330
Metabolism	Amino acid metabolism	Histidine metabolism 	ko00340
Metabolism	Amino acid metabolism	Tyrosine metabolism 	ko00350
Metabolism	Amino acid metabolism	Phenylalanine metabolism 	ko00360
Metabolism	Amino acid metabolism	Tryptophan metabolism 	ko00380
Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis 	ko00400
Metabolism	Metabolism of other amino acids	beta-Alanine metabolism 	ko00410
Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism 	ko00430
Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism 	ko00440
Metabolism	Metabolism of other amino acids	Selenocompound metabolism 	ko00450
Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism 	ko00460
Metabolism	Metabolism of other amino acids	D-Amino acid metabolism 	ko00470
Metabolism	Metabolism of other amino acids	Glutathione metabolism 	ko00480
Metabolism	Glycan biosynthesis and metabolism	N-Glycan biosynthesis 	ko00510
Metabolism	Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis 	ko00513
Metabolism	Glycan biosynthesis and metabolism	Mucin type O-glycan biosynthesis 	ko00512
Metabolism	Glycan biosynthesis and metabolism	Mannose type O-glycan biosynthesis 	ko00515
Metabolism	Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis 	ko00514
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate 	ko00532
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - heparan sulfate / heparin 	ko00534
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - keratan sulfate 	ko00533
Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan degradation 	ko00531
Metabolism	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis 	ko00563
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series 	ko00601
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo and isoglobo series 	ko00603
Metabolism	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series 	ko00604
Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation 	ko00511
Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis 	ko00540
Metabolism	Glycan biosynthesis and metabolism	O-Antigen repeat unit biosynthesis 	ko00542
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis 	ko00541
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis 	ko00550
Metabolism	Glycan biosynthesis and metabolism	Teichoic acid biosynthesis 	ko00552
Metabolism	Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis 	ko00571
Metabolism	Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium 	ko00572
Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis 	ko00543
Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism 	ko00730
Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism 	ko00740
Metabolism	Metabolism of cofactors and vitamins	Vitamin B6 metabolism 	ko00750
Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism 	ko00760
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis 	ko00770
Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism 	ko00780
Metabolism	Metabolism of cofactors and vitamins	Lipoic acid metabolism 	ko00785
Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis 	ko00790
Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate 	ko00670
Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism 	ko00830
Metabolism	Metabolism of cofactors and vitamins	Porphyrin metabolism 	ko00860
Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis 	ko00130
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis 	ko00900
Metabolism	Metabolism of terpenoids and polyketides	Monoterpenoid biosynthesis 	ko00902
Metabolism	Metabolism of terpenoids and polyketides	Sesquiterpenoid and triterpenoid biosynthesis 	ko00909
Metabolism	Metabolism of terpenoids and polyketides	Diterpenoid biosynthesis 	ko00904
Metabolism	Metabolism of terpenoids and polyketides	Carotenoid biosynthesis 	ko00906
Metabolism	Metabolism of terpenoids and polyketides	Brassinosteroid biosynthesis 	ko00905
Metabolism	Metabolism of terpenoids and polyketides	Insect hormone biosynthesis 	ko00981
Metabolism	Metabolism of terpenoids and polyketides	Zeatin biosynthesis 	ko00908
Metabolism	Metabolism of terpenoids and polyketides	Limonene degradation 	ko00903
Metabolism	Metabolism of terpenoids and polyketides	Pinene, camphor and geraniol degradation 	ko00907
Metabolism	Metabolism of terpenoids and polyketides	Type I polyketide structures 	ko01052
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of 12-, 14- and 16-membered macrolides 	ko00522
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of ansamycins 	ko01051
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of enediyne antibiotics 	ko01059
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide backbone 	ko01056
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide products 	ko01057
Metabolism	Metabolism of terpenoids and polyketides	Tetracycline biosynthesis 	ko00253
Metabolism	Metabolism of terpenoids and polyketides	Polyketide sugar unit biosynthesis 	ko00523
Metabolism	Metabolism of terpenoids and polyketides	Nonribosomal peptide structures 	ko01054
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides 	ko01053
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of vancomycin group antibiotics 	ko01055
Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis 	ko00940
Metabolism	Biosynthesis of other secondary metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis 	ko00945
Metabolism	Biosynthesis of other secondary metabolites	Flavonoid biosynthesis 	ko00941
Metabolism	Biosynthesis of other secondary metabolites	Flavone and flavonol biosynthesis 	ko00944
Metabolism	Biosynthesis of other secondary metabolites	Anthocyanin biosynthesis 	ko00942
Metabolism	Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis 	ko00943
Metabolism	Biosynthesis of other secondary metabolites	Degradation of flavonoids 	ko00946
Metabolism	Biosynthesis of other secondary metabolites	Indole alkaloid biosynthesis 	ko00901
Metabolism	Biosynthesis of other secondary metabolites	Indole diterpene alkaloid biosynthesis 	ko00403
Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline alkaloid biosynthesis 	ko00950
Metabolism	Biosynthesis of other secondary metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis 	ko00960
Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various alkaloids 	ko00996
Metabolism	Biosynthesis of other secondary metabolites	Caffeine metabolism 	ko00232
Metabolism	Biosynthesis of other secondary metabolites	Betalain biosynthesis 	ko00965
Metabolism	Biosynthesis of other secondary metabolites	Glucosinolate biosynthesis 	ko00966
Metabolism	Biosynthesis of other secondary metabolites	Benzoxazinoid biosynthesis 	ko00402
Metabolism	Biosynthesis of other secondary metabolites	Penicillin and cephalosporin biosynthesis 	ko00311
Metabolism	Biosynthesis of other secondary metabolites	Carbapenem biosynthesis 	ko00332
Metabolism	Biosynthesis of other secondary metabolites	Monobactam biosynthesis 	ko00261
Metabolism	Biosynthesis of other secondary metabolites	Clavulanic acid biosynthesis 	ko00331
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis 	ko00521
Metabolism	Biosynthesis of other secondary metabolites	Neomycin, kanamycin and gentamicin biosynthesis 	ko00524
Metabolism	Biosynthesis of other secondary metabolites	Acarbose and validamycin biosynthesis 	ko00525
Metabolism	Biosynthesis of other secondary metabolites	Novobiocin biosynthesis 	ko00401
Metabolism	Biosynthesis of other secondary metabolites	Staurosporine biosynthesis 	ko00404
Metabolism	Biosynthesis of other secondary metabolites	Phenazine biosynthesis 	ko00405
Metabolism	Biosynthesis of other secondary metabolites	Prodigiosin biosynthesis 	ko00333
Metabolism	Biosynthesis of other secondary metabolites	Aflatoxin biosynthesis 	ko00254
Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various antibiotics 	ko00998
Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various plant secondary metabolites 	ko00999
Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of various other secondary metabolites 	ko00997
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation 	ko00362
Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation 	ko00627
Metabolism	Xenobiotics biodegradation and metabolism	Fluorobenzoate degradation 	ko00364
Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane and chloroalkene degradation 	ko00625
Metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation 	ko00361
Metabolism	Xenobiotics biodegradation and metabolism	Toluene degradation 	ko00623
Metabolism	Xenobiotics biodegradation and metabolism	Xylene degradation 	ko00622
Metabolism	Xenobiotics biodegradation and metabolism	Nitrotoluene degradation 	ko00633
Metabolism	Xenobiotics biodegradation and metabolism	Ethylbenzene degradation 	ko00642
Metabolism	Xenobiotics biodegradation and metabolism	Styrene degradation 	ko00643
Metabolism	Xenobiotics biodegradation and metabolism	Atrazine degradation 	ko00791
Metabolism	Xenobiotics biodegradation and metabolism	Caprolactam degradation 	ko00930
Metabolism	Xenobiotics biodegradation and metabolism	Bisphenol degradation 	ko00363
Metabolism	Xenobiotics biodegradation and metabolism	Dioxin degradation 	ko00621
Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene degradation 	ko00626
Metabolism	Xenobiotics biodegradation and metabolism	Polycyclic aromatic hydrocarbon degradation 	ko00624
Metabolism	Xenobiotics biodegradation and metabolism	Furfural degradation 	ko00365
Metabolism	Xenobiotics biodegradation and metabolism	Steroid degradation 	ko00984
Metabolism	Xenobiotics biodegradation and metabolism	Metabolism of xenobiotics by cytochrome P450 	ko00980
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - cytochrome P450 	ko00982
Metabolism	Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes 	ko00983
Metabolism	Not included in regular maps	Global maps only	
Genetic Information Processing	Transcription	RNA polymerase 	ko03020
Genetic Information Processing	Transcription	Basal transcription factors 	ko03022
Genetic Information Processing	Transcription	Spliceosome 	ko03040
Genetic Information Processing	Translation	Ribosome 	ko03010
Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis 	ko00970
Genetic Information Processing	Translation	Nucleocytoplasmic transport 	ko03013
Genetic Information Processing	Translation	mRNA surveillance pathway 	ko03015
Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes 	ko03008
Genetic Information Processing	Folding, sorting and degradation	Protein export 	ko03060
Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum 	ko04141
Genetic Information Processing	Folding, sorting and degradation	SNARE interactions in vesicular transport 	ko04130
Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis 	ko04120
Genetic Information Processing	Folding, sorting and degradation	Sulfur relay system 	ko04122
Genetic Information Processing	Folding, sorting and degradation	Proteasome 	ko03050
Genetic Information Processing	Folding, sorting and degradation	RNA degradation 	ko03018
Genetic Information Processing	Replication and repair	DNA replication 	ko03030
Genetic Information Processing	Replication and repair	Base excision repair 	ko03410
Genetic Information Processing	Replication and repair	Nucleotide excision repair 	ko03420
Genetic Information Processing	Replication and repair	Mismatch repair 	ko03430
Genetic Information Processing	Replication and repair	Homologous recombination 	ko03440
Genetic Information Processing	Replication and repair	Non-homologous end-joining 	ko03450
Genetic Information Processing	Replication and repair	Fanconi anemia pathway 	ko03460
Genetic Information Processing	Chromosome	ATP-dependent chromatin remodeling 	ko03082
Genetic Information Processing	Chromosome	Polycomb repressive complex 	ko03083
Genetic Information Processing	Information processing in viruses	Viral genome structure 	ko03230
Genetic Information Processing	Information processing in viruses	Viral replication 	ko03240
Genetic Information Processing	Information processing in viruses	Viral life cycle - HIV-1 	ko03250
Genetic Information Processing	Information processing in viruses	Virion - Human immunodeficiency virus 	ko03260
Genetic Information Processing	Information processing in viruses	Virion - Rotavirus 	ko03271
Genetic Information Processing	Information processing in viruses	Virion - Coronavirus 	ko03262
Genetic Information Processing	Information processing in viruses	Virion - Influenza virus 	ko03261
Genetic Information Processing	Information processing in viruses	Virion - Enterovirus 	ko03263
Genetic Information Processing	Information processing in viruses	Virion - Flavivirus 	ko03264
Genetic Information Processing	Information processing in viruses	Virion - Ebolavirus, Lyssavirus and Morbillivirus 	ko03265
Genetic Information Processing	Information processing in viruses	Virion - Hepatitis viruses 	ko03272
Genetic Information Processing	Information processing in viruses	Virion - Herpesvirus 	ko03266
Genetic Information Processing	Information processing in viruses	Virion - Orthopoxvirus 	ko03268
Genetic Information Processing	Information processing in viruses	Virion - Adenovirus 	ko03267
Genetic Information Processing	Information processing in viruses	Virion - Bacteriophages T4 and T7 	ko03259
Genetic Information Processing	Information processing in viruses	Virion - Bacteriophage lambda 	ko03258
Environmental Information Processing	Membrane transport	ABC transporters 	ko02010
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS) 	ko02060
Environmental Information Processing	Membrane transport	Bacterial secretion system 	ko03070
Environmental Information Processing	Signal transduction	Two-component system 	ko02020
Environmental Information Processing	Signal transduction	MAPK signaling pathway 	ko04010
Environmental Information Processing	Signal transduction	MAPK signaling pathway - fly 	ko04013
Environmental Information Processing	Signal transduction	MAPK signaling pathway - plant 	ko04016
Environmental Information Processing	Signal transduction	MAPK signaling pathway - yeast 	ko04011
Environmental Information Processing	Signal transduction	ErbB signaling pathway 	ko04012
Environmental Information Processing	Signal transduction	Ras signaling pathway 	ko04014
Environmental Information Processing	Signal transduction	Rap1 signaling pathway 	ko04015
Environmental Information Processing	Signal transduction	Wnt signaling pathway 	ko04310
Environmental Information Processing	Signal transduction	Notch signaling pathway 	ko04330
Environmental Information Processing	Signal transduction	Hedgehog signaling pathway 	ko04340
Environmental Information Processing	Signal transduction	Hedgehog signaling pathway - fly 	ko04341
Environmental Information Processing	Signal transduction	TGF-beta signaling pathway 	ko04350
Environmental Information Processing	Signal transduction	Hippo signaling pathway 	ko04390
Environmental Information Processing	Signal transduction	Hippo signaling pathway - fly 	ko04391
Environmental Information Processing	Signal transduction	Hippo signaling pathway - multiple species 	ko04392
Environmental Information Processing	Signal transduction	VEGF signaling pathway 	ko04370
Environmental Information Processing	Signal transduction	Apelin signaling pathway 	ko04371
Environmental Information Processing	Signal transduction	JAK-STAT signaling pathway 	ko04630
Environmental Information Processing	Signal transduction	NF-kappa B signaling pathway 	ko04064
Environmental Information Processing	Signal transduction	TNF signaling pathway 	ko04668
Environmental Information Processing	Signal transduction	HIF-1 signaling pathway 	ko04066
Environmental Information Processing	Signal transduction	FoxO signaling pathway 	ko04068
Environmental Information Processing	Signal transduction	Calcium signaling pathway 	ko04020
Environmental Information Processing	Signal transduction	Phosphatidylinositol signaling system 	ko04070
Environmental Information Processing	Signal transduction	Phospholipase D signaling pathway 	ko04072
Environmental Information Processing	Signal transduction	Sphingolipid signaling pathway 	ko04071
Environmental Information Processing	Signal transduction	cAMP signaling pathway 	ko04024
Environmental Information Processing	Signal transduction	cGMP-PKG signaling pathway 	ko04022
Environmental Information Processing	Signal transduction	PI3K-Akt signaling pathway 	ko04151
Environmental Information Processing	Signal transduction	AMPK signaling pathway 	ko04152
Environmental Information Processing	Signal transduction	mTOR signaling pathway 	ko04150
Environmental Information Processing	Signal transduction	Plant hormone signal transduction 	ko04075
Environmental Information Processing	Signaling molecules and interaction	Neuroactive ligand-receptor interaction 	ko04080
Environmental Information Processing	Signaling molecules and interaction	Cytokine-cytokine receptor interaction 	ko04060
Environmental Information Processing	Signaling molecules and interaction	Viral protein interaction with cytokine and cytokine receptor 	ko04061
Environmental Information Processing	Signaling molecules and interaction	ECM-receptor interaction 	ko04512
Environmental Information Processing	Signaling molecules and interaction	Cell adhesion molecules 	ko04514
Cellular Processes	Transport and catabolism	Endocytosis 	ko04144
Cellular Processes	Transport and catabolism	Phagosome 	ko04145
Cellular Processes	Transport and catabolism	Lysosome 	ko04142
Cellular Processes	Transport and catabolism	Peroxisome 	ko04146
Cellular Processes	Transport and catabolism	Autophagy - animal 	ko04140
Cellular Processes	Transport and catabolism	Autophagy - yeast 	ko04138
Cellular Processes	Transport and catabolism	Autophagy - other 	ko04136
Cellular Processes	Transport and catabolism	Mitophagy - animal 	ko04137
Cellular Processes	Transport and catabolism	Mitophagy - yeast 	ko04139
Cellular Processes	Transport and catabolism	Efferocytosis 	ko04148
Cellular Processes	Cell growth and death	Cell cycle 	ko04110
Cellular Processes	Cell growth and death	Cell cycle - yeast 	ko04111
Cellular Processes	Cell growth and death	Cell cycle - Caulobacter 	ko04112
Cellular Processes	Cell growth and death	Meiosis - yeast 	ko04113
Cellular Processes	Cell growth and death	Oocyte meiosis 	ko04114
Cellular Processes	Cell growth and death	Apoptosis 	ko04210
Cellular Processes	Cell growth and death	Apoptosis - fly 	ko04214
Cellular Processes	Cell growth and death	Apoptosis - multiple species 	ko04215
Cellular Processes	Cell growth and death	Ferroptosis 	ko04216
Cellular Processes	Cell growth and death	Necroptosis 	ko04217
Cellular Processes	Cell growth and death	p53 signaling pathway 	ko04115
Cellular Processes	Cell growth and death	Cellular senescence 	ko04218
Cellular Processes	Cellular community - eukaryotes	Focal adhesion 	ko04510
Cellular Processes	Cellular community - eukaryotes	Adherens junction 	ko04520
Cellular Processes	Cellular community - eukaryotes	Tight junction 	ko04530
Cellular Processes	Cellular community - eukaryotes	Gap junction 	ko04540
Cellular Processes	Cellular community - eukaryotes	Signaling pathways regulating pluripotency of stem cells 	ko04550
Cellular Processes	Cellular community - prokaryotes	Quorum sensing 	ko02024
Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae 	ko05111
Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa 	ko02025
Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli 	ko02026
Cellular Processes	Cell motility	Bacterial chemotaxis 	ko02030
Cellular Processes	Cell motility	Flagellar assembly 	ko02040
Cellular Processes	Cell motility	Motor proteins 	ko04814
Cellular Processes	Cell motility	Cytoskeleton in muscle cells 	ko04820
Cellular Processes	Cell motility	Regulation of actin cytoskeleton 	ko04810
Organismal Systems	Immune system	Hematopoietic cell lineage 	ko04640
Organismal Systems	Immune system	Complement and coagulation cascades 	ko04610
Organismal Systems	Immune system	Platelet activation 	ko04611
Organismal Systems	Immune system	Neutrophil extracellular trap formation 	ko04613
Organismal Systems	Immune system	Toll-like receptor signaling pathway 	ko04620
Organismal Systems	Immune system	Toll and Imd signaling pathway 	ko04624
Organismal Systems	Immune system	NOD-like receptor signaling pathway 	ko04621
Organismal Systems	Immune system	RIG-I-like receptor signaling pathway 	ko04622
Organismal Systems	Immune system	Cytosolic DNA-sensing pathway 	ko04623
Organismal Systems	Immune system	C-type lectin receptor signaling pathway 	ko04625
Organismal Systems	Immune system	Natural killer cell mediated cytotoxicity 	ko04650
Organismal Systems	Immune system	Antigen processing and presentation 	ko04612
Organismal Systems	Immune system	T cell receptor signaling pathway 	ko04660
Organismal Systems	Immune system	Th1 and Th2 cell differentiation 	ko04658
Organismal Systems	Immune system	Th17 cell differentiation 	ko04659
Organismal Systems	Immune system	IL-17 signaling pathway 	ko04657
Organismal Systems	Immune system	B cell receptor signaling pathway 	ko04662
Organismal Systems	Immune system	Fc epsilon RI signaling pathway 	ko04664
Organismal Systems	Immune system	Fc gamma R-mediated phagocytosis 	ko04666
Organismal Systems	Immune system	Leukocyte transendothelial migration 	ko04670
Organismal Systems	Immune system	Intestinal immune network for IgA production 	ko04672
Organismal Systems	Immune system	Chemokine signaling pathway 	ko04062
Organismal Systems	Endocrine system	Insulin secretion 	ko04911
Organismal Systems	Endocrine system	Insulin signaling pathway 	ko04910
Organismal Systems	Endocrine system	Glucagon signaling pathway 	ko04922
Organismal Systems	Endocrine system	Regulation of lipolysis in adipocytes 	ko04923
Organismal Systems	Endocrine system	Adipocytokine signaling pathway 	ko04920
Organismal Systems	Endocrine system	PPAR signaling pathway 	ko03320
Organismal Systems	Endocrine system	GnRH secretion 	ko04929
Organismal Systems	Endocrine system	GnRH signaling pathway 	ko04912
Organismal Systems	Endocrine system	Ovarian steroidogenesis 	ko04913
Organismal Systems	Endocrine system	Estrogen signaling pathway 	ko04915
Organismal Systems	Endocrine system	Progesterone-mediated oocyte maturation 	ko04914
Organismal Systems	Endocrine system	Prolactin signaling pathway 	ko04917
Organismal Systems	Endocrine system	Oxytocin signaling pathway 	ko04921
Organismal Systems	Endocrine system	Relaxin signaling pathway 	ko04926
Organismal Systems	Endocrine system	Growth hormone synthesis, secretion and action 	ko04935
Organismal Systems	Endocrine system	Thyroid hormone synthesis 	ko04918
Organismal Systems	Endocrine system	Thyroid hormone signaling pathway 	ko04919
Organismal Systems	Endocrine system	Parathyroid hormone synthesis, secretion and action 	ko04928
Organismal Systems	Endocrine system	Melanogenesis 	ko04916
Organismal Systems	Endocrine system	Renin secretion 	ko04924
Organismal Systems	Endocrine system	Renin-angiotensin system 	ko04614
Organismal Systems	Endocrine system	Aldosterone synthesis and secretion 	ko04925
Organismal Systems	Endocrine system	Cortisol synthesis and secretion 	ko04927
Organismal Systems	Circulatory system	Cardiac muscle contraction 	ko04260
Organismal Systems	Circulatory system	Adrenergic signaling in cardiomyocytes 	ko04261
Organismal Systems	Circulatory system	Vascular smooth muscle contraction 	ko04270
Organismal Systems	Digestive system	Salivary secretion 	ko04970
Organismal Systems	Digestive system	Gastric acid secretion 	ko04971
Organismal Systems	Digestive system	Pancreatic secretion 	ko04972
Organismal Systems	Digestive system	Bile secretion 	ko04976
Organismal Systems	Digestive system	Carbohydrate digestion and absorption 	ko04973
Organismal Systems	Digestive system	Protein digestion and absorption 	ko04974
Organismal Systems	Digestive system	Fat digestion and absorption 	ko04975
Organismal Systems	Digestive system	Cholesterol metabolism 	ko04979
Organismal Systems	Digestive system	Vitamin digestion and absorption 	ko04977
Organismal Systems	Digestive system	Cobalamin transport and metabolism 	ko04980
Organismal Systems	Digestive system	Mineral absorption 	ko04978
Organismal Systems	Excretory system	Vasopressin-regulated water reabsorption 	ko04962
Organismal Systems	Excretory system	Aldosterone-regulated sodium reabsorption 	ko04960
Organismal Systems	Excretory system	Endocrine and other factor-regulated calcium reabsorption 	ko04961
Organismal Systems	Excretory system	Proximal tubule bicarbonate reclamation 	ko04964
Organismal Systems	Excretory system	Collecting duct acid secretion 	ko04966
Organismal Systems	Nervous system	Glutamatergic synapse 	ko04724
Organismal Systems	Nervous system	GABAergic synapse 	ko04727
Organismal Systems	Nervous system	Cholinergic synapse 	ko04725
Organismal Systems	Nervous system	Dopaminergic synapse 	ko04728
Organismal Systems	Nervous system	Serotonergic synapse 	ko04726
Organismal Systems	Nervous system	Long-term potentiation 	ko04720
Organismal Systems	Nervous system	Long-term depression 	ko04730
Organismal Systems	Nervous system	Retrograde endocannabinoid signaling 	ko04723
Organismal Systems	Nervous system	Synaptic vesicle cycle 	ko04721
Organismal Systems	Nervous system	Neurotrophin signaling pathway 	ko04722
Organismal Systems	Sensory system	Phototransduction 	ko04744
Organismal Systems	Sensory system	Phototransduction - fly 	ko04745
Organismal Systems	Sensory system	Olfactory transduction 	ko04740
Organismal Systems	Sensory system	Taste transduction 	ko04742
Organismal Systems	Sensory system	Inflammatory mediator regulation of TRP channels 	ko04750
Organismal Systems	Development and regeneration	Dorso-ventral axis formation 	ko04320
Organismal Systems	Development and regeneration	Axon guidance 	ko04360
Organismal Systems	Development and regeneration	Axon regeneration 	ko04361
Organismal Systems	Development and regeneration	Osteoclast differentiation 	ko04380
Organismal Systems	Aging	Longevity regulating pathway 	ko04211
Organismal Systems	Aging	Longevity regulating pathway - worm 	ko04212
